time,logger,level,message,exception
2012-05-31 11:39:08.6328,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3199205376
  PollingInterval     = 00:02:00",
2012-05-31 11:39:08.6638,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-05-31 11:39:13.7063,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fAgentRecords:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fAgentRecords : AbstractViewGenerator
{
	public Index_Temp_2fAgentRecords()
	{
		this.ViewText = @""from doc in docs.AgentRecords
select new {  }
"";
		this.ForEntityNames.Add(""AgentRecords"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""AgentRecords""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fAgentRecords : AbstractViewGenerator
{
	public Index_Temp_2fAgentRecords()
	{
		this.ViewText = @""from doc in docs.AgentRecords
select new {  }
"";
		this.ForEntityNames.Add(""AgentRecords"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""AgentRecords""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-05-31 11:39:13.7403,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Temp/AgentRecords,
2012-05-31 11:39:14.5884,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/AgentRecords,
2012-05-31 11:39:14.7074,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-05-31 11:39:14.9374,Raven.Database.Indexing.IndexStorage,Info,Deleting index Temp/AgentRecords,
2012-05-31 11:39:14.9904,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: DELETE INDEX Temp/AgentRecords,
2012-05-31 11:39:15.0074,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2012-05-31 11:39:15.0074,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2012-05-31 11:39:15.9715,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -   392 ms - <default>  - 200 - /stats?noCache=-553775301,
2012-05-31 11:39:17.3096,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc12' was not found,
2012-05-31 11:39:17.3096,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -     7 ms - <default>  - 404 - /docs/agent/devpc12,
2012-05-31 11:39:20.3840,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'devpc12' was not found,
2012-05-31 11:39:20.3840,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -     0 ms - <default>  - 404 - /docs/devpc12,
2012-05-31 11:39:44.4754,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fAgentRecords:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fAgentRecords : AbstractViewGenerator
{
	public Index_Temp_2fAgentRecords()
	{
		this.ViewText = @""from doc in docs.AgentRecords
select new {  }
"";
		this.ForEntityNames.Add(""AgentRecords"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""AgentRecords""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Temp_2fAgentRecords : AbstractViewGenerator
{
	public Index_Temp_2fAgentRecords()
	{
		this.ViewText = @""from doc in docs.AgentRecords
select new {  }
"";
		this.ForEntityNames.Add(""AgentRecords"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""AgentRecords""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-05-31 11:39:44.5034,Raven.Database.Indexing.IndexStorage,Info,Creating index Temp/AgentRecords with encoded name Temp/AgentRecords,
2012-05-31 11:39:44.5214,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/AgentRecords,
2012-05-31 11:39:44.5334,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 2 because: PUT INDEX Temp/AgentRecords,
2012-05-31 11:39:44.5334,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2012-05-31 11:39:44.5614,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work",
2012-05-31 11:39:44.7454,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/AgentRecords for all documents,
2012-05-31 11:39:44.8834,Raven.Database.Server.HttpServer,Debug,Request #   4: GET     -   545 ms - <default>  - 200 - /indexes/dynamic/AgentRecords?query=&start=0&pageSize=128&aggregation=None,
2012-05-31 11:39:44.8914,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 475 ms
	Index: Temp/AgentRecords
	Results: 0 returned out of 0 total.
",
2012-05-31 11:39:49.8399,Raven.Database.Server.HttpServer,Debug,Request #   5: GET     -    31 ms - <default>  - 200 - /stats?noCache=-555731342,
2012-05-31 11:41:09.3238,Raven.Database.Server.HttpServer,Debug,Request #   6: GET     -    28 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=-1102769093,
2012-05-31 11:42:09.2518,Raven.Database.Server.HttpServer,Debug,Request #   7: GET     -    33 ms - <default>  - 200 - /stats?noCache=567562834,
2012-05-31 11:42:10.6090,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-31 11:42:10.6090,Raven.Database.Server.HttpServer,Debug,Request #   8: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-31 11:42:31.3520,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc12' was not found,
2012-05-31 11:42:31.3520,Raven.Database.Server.HttpServer,Debug,Request #   9: GET     -    31 ms - <default>  - 404 - /docs/agent/devpc12,
2012-05-31 11:42:31.4131,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'devpc12' was not found,
2012-05-31 11:42:31.4131,Raven.Database.Server.HttpServer,Debug,Request #  10: GET     -     0 ms - <default>  - 404 - /docs/devpc12,
2012-05-31 11:42:48.9068,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/AgentRecords for all documents,
2012-05-31 11:42:48.9068,Raven.Database.Server.HttpServer,Debug,Request #  11: GET     -    12 ms - <default>  - 200 - /indexes/dynamic/AgentRecords?query=&start=0&pageSize=128&aggregation=None,
2012-05-31 11:42:48.9068,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 12 ms
	Index: Temp/AgentRecords
	Results: 0 returned out of 0 total.
",
2012-05-31 11:43:11.8721,Raven.Database.Server.HttpServer,Debug,Request #  12: GET     -    26 ms - <default>  - 200 - /stats?noCache=537222628,
2012-05-31 11:43:28.1467,Raven.Database.Server.HttpServer,Debug,Request #  13: GET     -   116 ms - <default>  - 200 - /stats?noCache=-1895460059,
2012-05-31 11:43:34.0833,Raven.Database.Server.HttpServer,Debug,Request #  14: GET     -    30 ms - <default>  - 200 - /stats?noCache=-1498068353,
2012-05-31 11:44:19.6899,Raven.Database.Server.HttpServer,Debug,Request #  15: GET     -    37 ms - <default>  - 200 - /stats?noCache=-1677039083,
2012-05-31 11:44:42.9912,Raven.Database.Server.HttpServer,Debug,Request #  16: GET     -    38 ms - <default>  - 200 - /stats?noCache=941758808,
2012-05-31 11:44:59.2908,Raven.Database.Server.HttpServer,Debug,Request #  17: GET     -    36 ms - <default>  - 200 - /stats?noCache=-2087647363,
2012-05-31 11:45:10.6640,Raven.Database.Server.HttpServer,Debug,Request #  18: GET     -    51 ms - <default>  - 200 - /stats?noCache=1934500123,
2012-05-31 11:45:16.7526,Raven.Database.Server.HttpServer,Debug,Request #  19: GET     -   194 ms - <default>  - 200 - /stats?noCache=1211881353,
2012-05-31 11:45:22.7652,Raven.Database.Server.HttpServer,Debug,Request #  20: GET     -   175 ms - <default>  - 200 - /stats?noCache=281696680,
2012-05-31 11:45:28.7518,Raven.Database.Server.HttpServer,Debug,Request #  21: GET     -   141 ms - <default>  - 200 - /stats?noCache=916933276,
2012-05-31 11:45:34.8604,Raven.Database.Server.HttpServer,Debug,Request #  22: GET     -   134 ms - <default>  - 200 - /stats?noCache=1485089486,
2012-05-31 11:45:40.7570,Raven.Database.Server.HttpServer,Debug,Request #  23: GET     -    34 ms - <default>  - 200 - /stats?noCache=-1815052266,
2012-05-31 11:46:14.3773,Raven.Database.Server.HttpServer,Debug,Request #  24: GET     -    80 ms - <default>  - 200 - /stats?noCache=-195653483,
2012-05-31 11:46:27.0346,Raven.Database.Server.HttpServer,Debug,Request #  25: GET     -    37 ms - <default>  - 200 - /stats?noCache=891323621,
2012-05-31 11:46:58.4988,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-31 11:46:58.4988,Raven.Database.Server.HttpServer,Debug,Request #  26: GET     -     0 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-31 11:47:33.9313,Raven.Database.Server.HttpServer,Debug,Request #  27: GET     -    44 ms - <default>  - 200 - /stats?noCache=-1426965906,
2012-05-31 11:47:40.0569,Raven.Database.Server.HttpServer,Debug,Request #  28: GET     -    38 ms - <default>  - 200 - /stats?noCache=-1005904682,
2012-05-31 11:48:11.5001,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-05-31 11:48:11.5001,Raven.Database.Server.HttpServer,Debug,Request #  29: GET     -     1 ms - <default>  - 404 - /docs/Raven/Replication/Destinations,
2012-05-31 11:48:11.5771,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc12' was not found,
2012-05-31 11:48:11.5771,Raven.Database.Server.HttpServer,Debug,Request #  30: GET     -     0 ms - <default>  - 404 - /docs/agent/devpc12,
2012-05-31 11:48:11.6301,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'devpc12' was not found,
2012-05-31 11:48:11.6301,Raven.Database.Server.HttpServer,Debug,Request #  31: GET     -     0 ms - <default>  - 404 - /docs/devpc12,
2012-05-31 11:48:16.6156,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'agent/devpc12', update: False, ",
2012-05-31 11:48:16.6156,Raven.Database.DocumentDatabase,Debug,Put document agent/devpc12 with etag 00000000-0000-0300-0000-000000000001,
2012-05-31 11:48:16.6156,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 3 because: PUT agent/devpc12,
2012-05-31 11:48:16.6396,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.2161126,
2012-05-31 11:48:16.6396,Raven.Database.Server.HttpServer,Debug,Request #  32: POST    -   317 ms - <default>  - 200 - /bulk_docs,
2012-05-31 11:48:16.6396,Raven.Database.Server.HttpServer,Debug,"	PUT agent/devpc12
",
2012-05-31 11:48:16.7156,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2012-05-31 11:48:16.9876,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 1 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000,
2012-05-31 11:48:17.2346,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"After read triggers executed, 1 documents remained",
2012-05-31 11:48:17.2836,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,"Going to index 1 documents in IndexName: Temp/AgentRecords, LastIndexedEtag: 00000000-0000-0000-0000-000000000000",
2012-05-31 11:48:17.2836,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Indexing 1 documents for index: Temp/AgentRecords. (agent/devpc12),
2012-05-31 11:48:17.9487,Raven.Database.Indexing.Index.Indexing,Debug,"Indexing on agent/devpc12 result in index Temp/AgentRecords gave document: 	__document_id IS: agent/devpc12
",
2012-05-31 11:48:18.3477,Raven.Database.Indexing.Index.Indexing,Debug,Indexed 3 documents for Temp/AgentRecords,
2012-05-31 11:48:18.4228,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 4 because: WORK BY IndexingExecuter,
2012-05-31 11:48:18.4228,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 4, for: ReducingExecuter, will wait for additional work",
2012-05-31 11:48:18.4228,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 4, for: IndexingExecuter, will wait for additional work",
2012-05-31 11:48:38.5308,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/AgentRecords for all documents,
2012-05-31 11:48:38.5518,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc12' was found,
2012-05-31 11:48:38.5928,Raven.Database.Server.HttpServer,Debug,Request #  33: GET     -    67 ms - <default>  - 200 - /indexes/dynamic/AgentRecords?query=&start=0&pageSize=128&aggregation=None,
2012-05-31 11:48:38.5928,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 58 ms
	Index: Temp/AgentRecords
	Results: 1 returned out of 1 total.
",
2012-05-31 11:48:42.0521,Raven.Database.Server.HttpServer,Debug,Request #  34: GET     -    32 ms - <default>  - 200 - /stats?noCache=63377300,
2012-05-31 11:49:06.2635,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'agent/devpc13' was not found,
2012-05-31 11:49:06.2635,Raven.Database.Server.HttpServer,Debug,Request #  35: GET     -    83 ms - <default>  - 404 - /docs/agent/devpc13,
2012-05-31 11:49:06.3125,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'devpc13' was not found,
2012-05-31 11:49:06.3125,Raven.Database.Server.HttpServer,Debug,Request #  36: GET     -     0 ms - <default>  - 404 - /docs/devpc13,
2012-05-31 11:49:10.3969,Raven.Database.Server.HttpServer,Debug,Request #  37: GET     -    32 ms - <default>  - 200 - /stats?noCache=-560077545,
2012-05-31 11:49:12.4332,Raven.Database.Server.HttpServer,Debug,Request #  38: GET     -    50 ms - <default>  - 200 - /docs?pageSize=0&noCache=1760750787,
2012-05-31 11:49:19.1938,Raven.Database.Server.HttpServer,Debug,Request #  39: GET     -    45 ms - <default>  - 304 - /indexes/dynamic/AgentRecords?query=&start=0&pageSize=128&aggregation=None,
2012-05-31 11:49:19.1938,Raven.Database.Server.HttpServer,Debug,"	Query: 
	Time: 45 ms
",
